simulation_id,session_index,time,action,state,reward
0.0_s1_5,12,12,A_independent,s1,2
0.0_s1_5,12,13,A_independent,s1,2
0.0_s1_5,12,14,A_independent,s1,2
0.0_s1_5,12,15,A_independent,s1,2
0.0_s1_5,12,16,A_independent,s1,2
0.0_s1_5,12,17,A_independent,s1,2
0.0_s1_5,12,18,A_independent,s1,2
0.0_s1_5,12,19,A_independent,s1,2
0.0_s1_5,12,20,A_independent,s1,2
0.0_s1_5,13,1,A_independent,s1,2
0.0_s1_5,13,2,A_independent,s1,2
0.0_s1_5,13,3,A_independent,s1,2
0.0_s1_5,13,4,A_independent,s1,2
0.0_s1_5,13,5,A_independent,s1,2
0.0_s1_5,13,6,A_independent,s1,2
0.0_s1_5,13,7,A_independent,s1,2
0.0_s1_5,13,8,A_independent,s1,2
0.0_s1_5,13,9,A_independent,s1,2
0.0_s1_5,13,10,A_independent,s1,2
0.0_s1_5,13,11,A_independent,s1,2
0.0_s1_5,13,12,A_independent,s1,2
0.0_s1_5,13,13,A_independent,s1,2
0.0_s1_5,13,14,A_independent,s1,2
0.0_s1_5,13,15,A_independent,s1,2
0.0_s1_5,13,16,A_independent,s1,2
0.0_s1_5,13,17,A_independent,s1,2
0.0_s1_5,13,18,A_independent,s1,2
0.0_s1_5,13,19,A_independent,s1,2
0.0_s1_5,13,20,A_independent,s1,2
0.0_s1_5,14,1,A_independent,s1,2
0.0_s1_5,14,2,A_independent,s1,2
0.0_s1_5,14,3,A_independent,s1,2
0.0_s1_5,14,4,A_independent,s1,2
0.0_s1_5,14,5,A_independent,s1,2
0.0_s1_5,14,6,A_independent,s1,2
0.0_s1_5,14,7,A_independent,s1,2
0.0_s1_5,14,8,A_independent,s1,2
0.0_s1_5,14,9,A_independent,s1,2
0.0_s1_5,14,10,A_independent,s1,2
0.0_s1_5,14,11,A_independent,s1,2
0.0_s1_5,14,12,A_independent,s1,2
0.0_s1_5,14,13,A_independent,s1,2
0.0_s1_5,14,14,A_independent,s1,2
0.0_s1_5,14,15,A_independent,s1,2
0.0_s1_5,14,16,A_independent,s1,2
0.0_s1_5,14,17,A_independent,s1,2
0.0_s1_5,14,18,A_independent,s1,2
0.0_s1_5,14,19,A_independent,s1,2
0.0_s1_5,14,20,A_independent,s1,2
0.0_s1_5,15,1,A_independent,s1,2
0.0_s1_5,15,2,A_independent,s1,2
0.0_s1_5,15,3,A_independent,s1,2
0.0_s1_5,15,4,A_independent,s1,2
0.0_s1_5,15,5,A_independent,s1,2
0.0_s1_5,15,6,A_independent,s1,2
0.0_s1_5,15,7,A_independent,s1,2
0.0_s1_5,15,8,A_independent,s1,2
0.0_s1_5,15,9,A_independent,s1,2
0.0_s1_5,15,10,A_independent,s1,2
0.0_s1_5,15,11,A_independent,s1,2
0.0_s1_5,15,12,A_independent,s1,2
0.0_s1_5,15,13,A_independent,s1,2
0.0_s1_5,15,14,A_independent,s1,2
0.0_s1_5,15,15,A_independent,s1,2
0.0_s1_5,15,16,A_independent,s1,2
0.0_s1_5,15,17,A_independent,s1,2
0.0_s1_5,15,18,A_independent,s1,2
0.0_s1_5,15,19,A_independent,s1,2
0.0_s1_5,15,20,A_independent,s1,2
0.0_s1_5,16,1,A_independent,s1,2
0.0_s1_5,16,2,A_independent,s1,2
0.0_s1_5,16,3,A_independent,s1,2
0.0_s1_5,16,4,A_independent,s1,2
0.0_s1_5,16,5,A_independent,s1,2
0.0_s1_5,16,6,A_independent,s1,2
0.0_s1_5,16,7,A_independent,s1,2
0.0_s1_5,16,8,A_independent,s1,2
0.0_s1_5,16,9,A_independent,s1,2
0.0_s1_5,16,10,A_independent,s1,2
0.0_s1_5,16,11,A_independent,s1,2
0.0_s1_5,16,12,A_independent,s1,2
0.0_s1_5,16,13,A_independent,s1,2
0.0_s1_5,16,14,A_independent,s1,2
0.0_s1_5,16,15,A_independent,s1,2
0.0_s1_5,16,16,A_independent,s1,2
0.0_s1_5,16,17,A_independent,s1,2
0.0_s1_5,16,18,A_independent,s1,2
0.0_s1_5,16,19,A_independent,s1,2
0.0_s1_5,16,20,A_independent,s1,2
0.0_s1_5,17,1,A_independent,s1,2
0.0_s1_5,17,2,A_independent,s1,2
0.0_s1_5,17,3,A_independent,s1,2
0.0_s1_5,17,4,A_independent,s1,2
0.0_s1_5,17,5,A_independent,s1,2
0.0_s1_5,17,6,A_independent,s1,2
0.0_s1_5,17,7,A_independent,s1,2
0.0_s1_5,17,8,A_independent,s1,2
0.0_s1_5,17,9,A_independent,s1,2
0.0_s1_5,17,10,A_independent,s1,2
0.0_s1_5,17,11,A_independent,s1,2
0.0_s1_5,17,12,A_independent,s1,2
0.0_s1_5,17,13,A_independent,s1,2
0.0_s1_5,17,14,A_independent,s1,2
0.0_s1_5,17,15,A_independent,s1,2
0.0_s1_5,17,16,A_independent,s1,2
0.0_s1_5,17,17,A_independent,s1,2
0.0_s1_5,17,18,A_independent,s1,2
0.0_s1_5,17,19,A_independent,s1,2
0.0_s1_5,17,20,A_independent,s1,2
0.0_s1_5,18,1,A_independent,s1,2
0.0_s1_5,18,2,A_independent,s1,2
0.0_s1_5,18,3,A_independent,s1,2
0.0_s1_5,18,4,A_independent,s1,2
0.0_s1_5,18,5,A_independent,s1,2
0.0_s1_5,18,6,A_independent,s1,2
0.0_s1_5,18,7,A_independent,s1,2
0.0_s1_5,18,8,A_independent,s1,2
0.0_s1_5,18,9,A_independent,s1,2
0.0_s1_5,18,10,A_independent,s1,2
0.0_s1_5,18,11,A_independent,s1,2
0.0_s1_5,18,12,A_independent,s1,2
0.0_s1_5,18,13,A_independent,s1,2
0.0_s1_5,18,14,A_independent,s1,2
0.0_s1_5,18,15,A_independent,s1,2
0.0_s1_5,18,16,A_independent,s1,2
0.0_s1_5,18,17,A_independent,s1,2
0.0_s1_5,18,18,A_independent,s1,2
0.0_s1_5,18,19,A_independent,s1,2
0.0_s1_5,18,20,A_independent,s1,2
0.0_s1_5,19,1,A_independent,s1,2
0.0_s1_5,19,2,A_independent,s1,2
0.0_s1_5,19,3,A_independent,s1,2
0.0_s1_5,19,4,A_independent,s1,2
0.0_s1_5,19,5,A_independent,s1,2
0.0_s1_5,19,6,A_independent,s1,2
0.0_s1_5,19,7,A_independent,s1,2
0.0_s1_5,19,8,A_independent,s1,2
0.0_s1_5,19,9,A_independent,s1,2
0.0_s1_5,19,10,A_independent,s1,2
0.0_s1_5,19,11,A_independent,s1,2
0.0_s1_5,19,12,A_independent,s1,2
0.0_s1_5,19,13,A_independent,s1,2
0.0_s1_5,19,14,A_independent,s1,2
0.0_s1_5,19,15,A_independent,s1,2
0.0_s1_5,19,16,A_independent,s1,2
0.0_s1_5,19,17,A_independent,s1,2
0.0_s1_5,19,18,A_independent,s1,2
0.0_s1_5,19,19,A_independent,s1,2
0.0_s1_5,19,20,A_independent,s1,2
0.0_s1_5,20,1,A_independent,s1,2
0.0_s1_5,20,2,A_independent,s1,2
0.0_s1_5,20,3,A_independent,s1,2
0.0_s1_5,20,4,A_independent,s1,2
0.0_s1_5,20,5,A_independent,s1,2
0.0_s1_5,20,6,A_independent,s1,2
0.0_s1_5,20,7,A_independent,s1,2
0.0_s1_5,20,8,A_independent,s1,2
0.0_s1_5,20,9,A_independent,s1,2
0.0_s1_5,20,10,A_independent,s1,2
0.0_s1_5,20,11,A_independent,s1,2
0.0_s1_5,20,12,A_independent,s1,2
0.0_s1_5,20,13,A_independent,s1,2
0.0_s1_5,20,14,A_independent,s1,2
0.0_s1_5,20,15,A_independent,s1,2
0.0_s1_5,20,16,A_independent,s1,2
0.0_s1_5,20,17,A_independent,s1,2
0.0_s1_5,20,18,A_independent,s1,2
0.0_s1_5,20,19,A_independent,s1,2
0.0_s1_5,20,20,A_independent,s1,2
0.0_s1_5,21,1,A_independent,s1,2
0.0_s1_5,21,2,A_independent,s1,2
0.0_s1_5,21,3,A_independent,s1,2
0.0_s1_5,21,4,A_independent,s1,2
0.0_s1_5,21,5,A_independent,s1,2
0.0_s1_5,21,6,A_independent,s1,2
